,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,,,,( ₹ crore),,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
5.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"4,270","4,960","5,006","5,465","5,900","5,854","6,527","7,986","7,631","6,702","10,411","13,745","14,908",,,,,,,,,,,,,,Production taxes less production subsidies,5.1.2.2.3
5.2,सकल पूंजी निर्माण ,"232,479","261,064","176,810","228,722","226,600","248,982","294,221","439,939","390,221","453,765","457,707","738,406","776,683","232,479","252,825","164,015","209,918","215,423","239,146","284,356","413,934","379,898","446,812","414,307","480,523","504,542",Gross Capital Formation ,5.2
5.3,स.मू.व. का उत्पादन से अनुपात,36.3,36.3,36.5,36.0,36.9,37.3,36.9,36.4,36.2,36.4,36.1,35.8,36.4,36.3,36.1,36.2,35.7,36.4,36.7,36.4,36.1,35.9,36.0,35.8,35.6,36.1,GVA to Output Ratio,5.3
5.4,स.पू.नि. का उत्पादन से अनुपात,10.9,11.1,7.0,8.4,8.4,8.6,9.0,11.9,10.2,12.1,9.0,12.2,11.8,10.9,11.7,7.4,9.0,9.1,9.6,10.7,14.6,13.1,16.2,12.4,13.1,12.7,GCF to Output Ratio,5.4
6,"व्‍यापार, मरम्‍मत, होटल और रेस्‍तरां ",,,,,,,,,,,,,,,,,,,,,,,,,,," Trade, repair, hotels and restaurants",6
6.1,उत्‍पादन ,"1,330,327","1,569,347","1,758,066","1,976,834","2,122,304","2,370,664","2,741,203","3,127,343","3,418,188","2,695,435","3,402,594","4,358,003","4,790,430","1,330,327","1,463,943","1,540,811","1,705,637","1,871,190","2,052,345","2,288,914","2,501,474","2,685,988","2,099,249","2,380,602","2,805,906","3,058,646",Output,6.1
6.1.1,मध्‍यस्‍थ उपभोग ,"446,744","514,814","573,505","656,000","688,335","761,663","859,808","990,636","1,091,857","849,995","1,093,498","1,488,458","1,661,896","446,744","482,323","506,305","569,796","609,765","663,023","720,739","793,694","857,120","660,772","765,822","957,629","1,059,087",Intermediate consumption,6.1.1
6.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"883,582","1,054,533","1,184,560","1,320,833","1,433,969","1,609,001","1,881,395","2,136,707","2,326,331","1,845,440","2,309,096","2,869,546","3,128,535","883,582","981,620","1,034,506","1,135,841","1,261,426","1,389,322","1,568,175","1,707,781","1,828,868","1,438,477","1,614,780","1,848,277","1,999,559",GVA at basic prices,6.1.2
6.1.2.1,स्‍थायी पूंजी अवक्षय  ,"45,468","57,280","64,109","73,463","81,737","94,388","113,120","133,004","146,999","161,515","194,384","240,940","259,290","45,468","53,876","57,869","64,553","73,400","83,614","96,012","107,751","117,650","126,194","138,605","157,413","168,270",CFC,6.1.2.1
6.1.2.2,निवल मूल्‍य वर्धन ,"838,114","997,253","1,120,451","1,247,371","1,352,232","1,514,613","1,768,275","2,003,703","2,179,332","1,683,925","2,114,712","2,628,606","2,869,245","838,114","927,744","976,637","1,071,289","1,188,026","1,305,709","1,472,163","1,600,030","1,711,218","1,312,283","1,476,175","1,690,864","1,831,289",NVA at basic prices,6.1.2.2
