क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,Sl.No.
3.5,स्‍थायी पूंजी अवक्षय,"2,243","2,682","2,796","2,785","2,881","2,822","2,887","2,932","2,937","3,305","3,525","3,868","4,182","2,243","2,648","2,713","2,594","2,694","2,593","2,583","2,573","2,448","2,597","2,653","2,792","2,915",CFC,3.5
3.6,निवल मूल्य वर्धन,"4,667","4,508","3,680","4,805","4,417","6,384","10,134","10,127","10,291","10,783","15,685","18,275","18,314","4,667","4,404","4,632","5,360","5,401","5,976","9,331","10,055","10,568","9,668","10,400","11,342","12,252",Net Value Added,3.6
4,वायु परिवहन,,,,,,,,,,,,,,,,,,,,,,,,,,,Air transport,4
4.1,उत्पादन का मूल्य,"55,884","62,077","72,834","80,842","83,558","97,621","117,329","105,015","117,324","52,134","90,074","136,394","164,168","55,884","53,586","58,412","66,398","76,963","90,520","110,791","124,195","121,145","45,181","70,889","110,449","126,096",value of output,4.1
4.2,लागत,"51,425","53,827","65,881","68,861","62,918","75,837","94,553","92,077","94,470","41,067","78,799","117,951","130,480","51,425","49,335","53,789","61,130","70,812","83,238","102,283","114,635","111,841","41,675","65,359","101,548","115,932",input,4.2
4.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,66,123,101,161,297,288,332,208,358,228,161,302,586,66,68,74,79,99,111,136,159,146,73,87,152,189,FISIM,4.3
4.4,सकल मूल्य वर्धन,"4,393","8,128","6,853","11,820","20,344","21,496","22,444","12,730","22,496","10,839","11,114","18,140","33,102","4,393","4,183","4,550","5,188","6,053","7,172","8,373","9,402","9,158","3,433","5,443","8,749","9,975",Gross Value Added,4.4
4.5,स्‍थायी पूंजी अवक्षय,"3,360","3,599","3,559","3,807","3,575","3,473","3,595","3,738","8,763","9,436","10,323","11,135","12,888","3,360","3,553","3,457","3,551","3,310","3,156","3,185","3,239","7,322","7,423","7,763","8,010","8,917",CFC,4.5
4.6,निवल मूल्य वर्धन,"1,033","4,529","3,294","8,013","16,769","18,024","18,849","8,992","13,733","1,404",791,"7,005","20,213","1,033",630,"1,093","1,637","2,743","4,016","5,188","6,163","1,836","-3,990","-2,321",739,"1,058",Net Value Added,4.6
5,परिवहन संबंधी प्रासंगिक सेवाएं,,,,,,,,,,,,,,,,,,,,,,,,,,,Services incidental to transport,5
