Sector_Index,Sector_Code,Sector_Name,Broad_Category,Sector_Subgroup,Water_2022_Blue_m3_per_EUR_million,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_EUR_million,Water_2022_Green_m3_per_crore,Extrapolated
127,IN.127,Computer services,Services,,0.0,0.0,0.0,0.0,False
128,IN.128,R&D services,Services,,0.0,0.0,0.0,0.0,False
129,IN.129,Business services,Services,,0.0,0.0,0.0,0.0,False
130,IN.130,Public administration,Services,,0.0,0.0,0.0,0.0,False
131,IN.131,Education,Services,,0.0,0.0,0.0,0.0,False
132,IN.132,Health and social work,Services,,0.0,0.0,0.0,0.0,False
133,IN.133,Sewage/refuse,Services,,0.0,0.0,0.0,0.0,False
134,IN.134,Membership organizations,Services,,0.0,0.0,0.0,0.0,False
135,IN.135,Recreational/cultural,Services,,0.0,0.0,0.0,0.0,False
136,IN.136,Other services,Services,,0.0,0.0,0.0,0.0,False
137,IN.137,Private households,Services,,0.0,0.0,0.0,0.0,False
138,IN.138,Sector 138,Other,,0.0,0.0,0.0,0.0,False
139,IN.139,Sector 139,Other,,0.0,0.0,0.0,0.0,False
140,IN.140,Sector 140,Other,,0.0,0.0,0.0,0.0,False
141,IN.141,Sector 141,Other,,0.0,0.0,0.0,0.0,False
142,IN.142,Sector 142,Other,,0.0,0.0,0.0,0.0,False
143,IN.143,Sector 143,Other,,0.0,0.0,0.0,0.0,False
144,IN.144,Sector 144,Other,,0.0,0.0,0.0,0.0,False
145,IN.145,Sector 145,Other,,0.0,0.0,0.0,0.0,False
146,IN.146,Sector 146,Other,,0.0,0.0,0.0,0.0,False
147,IN.147,Sector 147,Other,,0.0,0.0,0.0,0.0,False
148,IN.148,Sector 148,Other,,0.0,0.0,0.0,0.0,False
149,IN.149,Sector 149,Other,,0.0,0.0,0.0,0.0,False
150,IN.150,Sector 150,Other,,0.0,0.0,0.0,0.0,False
151,IN.151,Sector 151,Other,,0.0,0.0,0.0,0.0,False
152,IN.152,Sector 152,Other,,0.0,0.0,0.0,0.0,False
153,IN.153,Sector 153,Other,,0.0,0.0,0.0,0.0,False
154,IN.154,Sector 154,Other,,0.0,0.0,0.0,0.0,False
155,IN.155,Sector 155,Other,,0.0,0.0,0.0,0.0,False
156,IN.156,Sector 156,Other,,0.0,0.0,0.0,0.0,False
157,IN.157,Sector 157,Other,,0.0,0.0,0.0,0.0,False
158,IN.158,Sector 158,Other,,0.0,0.0,0.0,0.0,False
159,IN.159,Sector 159,Other,,0.0,0.0,0.0,0.0,False
160,IN.160,Sector 160,Other,,0.0,0.0,0.0,0.0,False
161,IN.161,Sector 161,Other,,2.29467e-05,2.5928474576271184e-05,0.0,0.0,False
162,IN.162,Sector 162,Other,,0.0,0.0,0.0,0.0,False
