Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
60,Carpet weaving,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,"9,699",,"1,434",202,,"11,895","23,499"
61,Ready made garments,,,698,,102,31,32,108,149,309,,,,,,,"4,224","3,706",460,,,68,16,,,,207,41,311,,69,,,,,10,10,,62,,,"1,516",,11,"2,071","5,550",382,"4,031",981,63,729,530,16,13,59,,300,112,381,241,"1,628",455,36,884,332,613,"31,547","179,250",,,"2,522",,"116,712","330,031"
62,Misc. textile products,,,94,84,,,,,,,"7,842","4,205","5,584","12,629","10,470","3,205","14,595","6,176","3,118","1,445",348,"2,257",584,120,301,181,"4,511","2,819","5,690","1,031","12,928","12,315","2,675","12,799",,"1,465",552,"3,227","1,546",,,,,,,,,,,665,,566,,171,24,,,27,,,251,16,12,200,2,,"136,730","114,257",,,-304,,"42,939","293,622"
63,Leather footwear,,,,,819,,,,,,,,,,,,,,"5,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,"6,880","68,335",,,83,,"18,551","93,849"
64,Leather and leather products except footwear,,,,,"1,096",,,,,,,,16,,,,74,"1,191","25,217",,,,,,,,,,196,,,,,,,,,381,128,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"28,317","17,479",,,93,,"17,814","63,703"
65,Wood and wood products except furniture,,,571,97,"2,778",108,36,,,,,,,11,36,223,"2,218",12,29,126,,456,21,,,,215,274,183,21,"1,696",43,75,272,,"9,363","1,866","10,858",387,,"54,786",,,,,,,,,,,"14,766",,,,,,,"4,331",,"7,784",,,,,,"113,642","16,377",,"2,513","2,490",,"2,742","137,764"
66,"Paper, Paper products and newsprint",,,484,,102,,,26,44,"1,426",10,101,,77,36,585,342,,30,9,753,75,69,,108,32,508,204,648,349,564,306,337,255,,"22,899","18,378",122,502,,,"8,148",,103,"1,827","16,157",270,"2,520","1,538",184,"8,554","4,785",,"7,004",938,,"19,039",178,"8,748","1,387","19,796","3,190",119,"5,146","1,065",158,"160,235","17,649",,141,"-7,570",,"7,871","178,326"
67,"Publishing, printing and allied activities",,,583,,,,,,,264,,,,,18,113,,126,,,,,15,,,,8,78,,244,,36,20,,,78,360,28,14,,,920,,39,671,534,103,925,"1,104",98,477,508,,"2,409",247,,"36,075",66,"3,713","5,579","8,345",149,59,348,205,137,"64,696","21,563",,"1,096","-1,935",,"1,910","87,330"
68,Furniture & Fixtures ,,,210,,16,,,151,106,283,,,,,,,10,,,,,185,159,103,"1,690",192,140,275,"5,292",,,,,,,,,"3,002",62,,"44,864",168,,14,97,105,111,118,289,90,366,381,,"1,552",121,,430,43,39,184,"1,431",992,52,"1,160",52,929,"65,464","22,471",,"42,367","1,158",,"4,386","135,846"
69,Rubber products,,,308,,99,29,,430,"1,847","1,471",,,,,,,413,360,"1,989",27,101,653,60,91,11,23,"1,937","7,031","42,289",12,182,39,"13,519",39,,19,,"2,175",431,,,,,"3,579",,"26,931",,"5,005","4,009",680,90,"1,657",,,,,,,,,,"1,444",,"2,382",199,68,"121,629","8,988",,"13,722","1,919",,"16,732","162,990"
