Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Supply at BP,Product taxes less Subsidies,Output at Producer price,Imports,CIF Adj,Imports after cif adjustment,Import Duty,Final Import,Output at Producer Price + Import,Trade and Transport Margins,Supply at PP
53,Tea processed,,,,,,,,,,,,,,61950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61950,1277,63226,408,,408,110,519,63745,10331,74075
54,Coffee processed,,,,,,,,,,,,,,12772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12772,182,12954,1009,,1009,170,1179,14133,5441,19574
55,Tobacco Products,,,,,,,,,,,,,,,,66266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66266,6195,72462,392,,392,33,425,72887,14545,87432
56,Cotton Yarn and Cotton Textiles,,,,,,,,,,,,,,,,,410401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410401,7196,417597,11874,,11874,826,12700,430298,98734,529032
57,Synthetic yarn and synthetic textiles,,,,,,,,,,,,,,,,,43737,,,,,,,,,,,,,,5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49291,3847,53138,20301,,20301,1262,21563,74702,9640,84341
58,Wool yarn and woolen textiles,,,,,,,,,,,,,,,,,16217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16217,225,16442,1213,,1213,68,1282,17724,7187,24911
59,Silk yarn and silk textiles,,,,,,,,,,,,,,,,,13647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13647,117,13764,,,,,,13764,1462,15227
60,Carpet weaving,,,,,,,,,,,,,,,,,17524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17524,1016,18540,968,,968,67,1036,19576,7843,27418
61,Ready made garments,,,,,,,,,,,,,,,,,71937,172264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244201,12132,256333,8198,,8198,572,8770,265103,42644,307747
62,Misc. textile products,,,,,,,,,,,,,,,,,173228,6927,,,,,,,,,,,,,3411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183567,9446,193013,12445,,12445,766,13211,206224,54565,260789
63,Leather footwear,,,,,,,,,,,,,,,,,,,72550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72550,5623,78173,5316,,5316,353,5669,83842,23198,107039
64,Leather and leather products except footwear,,,,,,,,,,,,,,,,,,,35581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35581,1642,37222,6004,,6004,196,6200,43423,12642,56064
65,Wood and wood products except furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100317,3945,,,135,103,,,,,,,,,,,,,,,,,,,,,,,,,,,104499,9260,113759,20104,,20104,373,20476,134235,39718,173953
66,"Paper, Paper products and newsprint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159673,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,159955,12636,172591,27988,,27988,785,28772,201363,43141,244505
67,"Publishing, printing and allied activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70626,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,70810,4158,74968,2402,,2402,65,2467,77435,19707,97142
68,Furniture & Fixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164457,10959,,,,,,,,,,,,,,,,,,,,,,,,,,,,175417,12087,187503,5888,,5888,328,6216,193719,59550,253269
69,Rubber products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120117,9191,129309,22091,,22091,856,22947,152256,31225,183481
70,Plastic products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270474,22871,293345,101022,,101022,3001,104022,397368,91731,489099
71,Petroleum products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880354,70844,951198,187343,,187343,5225,192568,1143766,273968,1417734
72,Coal tar products,,,,,,,,,,,,,,,,,,,,3969,,,,,,,,,,42692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46661,1197,47858,9981,,9981,278,10259,58117,11610,69727
73,Inorganic chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,89716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90818,8519,99336,45704,,45704,1473,47177,146513,30740,177253
74,Organic chemicals,,,,,,,,,,,,,,,3966,,,,,,,,,,,,,,,211221,230362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445548,30332,475880,179553,,179553,5454,185007,660887,175758,836645
75,Fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105697,-58042,47655,47397,,47397,1074,48471,96126,27567,123693
76,Pesticides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70872,-25432,45440,,,,,,45440,9342,54782
77,"Paints, varnishes and lacquers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170002,8633,178635,15366,,15366,430,15796,194431,32652,227083
78,Drugs and medicine,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,401379,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,401477,17044,418521,16883,,16883,493,17376,435897,117450,553347
79,"Soaps, cosmetics and glycerin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112830,5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118149,10261,128410,13637,,13637,799,14436,142846,29314,172160
80,"Synthetic fibres, resin",,,,,,,,,,,,,,,,,19149,,,,,,,,,,,,,,41402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60551,5496,66047,,,,,,66047,26954,93001
81,Other chemicals and chemical products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20196,33642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53838,4319,58157,6050,,6050,291,6341,64498,12890,77388
82,Cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297799,31517,329317,3360,,3360,94,3454,332771,68982,401753
83,Non metallic mineral products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164482,12154,176636,18022,,18022,518,18540,195176,43684,238861
84,Iron and steel Ferro alloys,,,,,,,,,,,,,,,,,,,,358754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358754,26147,384901,26,,26,1,27,384928,61504,446432
85,Iron and steel casting and forging,,,,,,,,,,,,,,,,,,,,384263,,,,,,,,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385847,35494,421341,44375,,44375,2100,46475,467816,104127,571943
86,Iron and steel foundries,,,,,,,,,,,,,,,,,,,,378021,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378063,29623,407685,20589,,20589,919,21507,429193,76525,505718
87,Non ferrous basic metals (including alloys),,,,,,,,,,,,,,,,,,,,,193055,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,193343,17358,210702,70341,,70341,1159,71500,282202,59767,341969
88,"Hand tools, hardware",,,,,,,,,,,,,,24,,,,,,,,157682,,,,,30183,3752,7090,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,198895,9998,208893,18086,,18086,770,18856,227749,46277,274026
89,Miscellaneous metal products,,,,,,,,,,,,,,,,,,,,,38496,135808,,,,,,5681,4642,,,,,,,,,,18085,,,,,,,,,,,,,,,,,,,,,,,,,,,,202711,11268,213979,35283,,35283,1212,36494,250473,66001,316474
90,Tractors and other agricultural implements,,,,,,,,,,,,,,,,,,,,,,,,,,,,69711,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69946,4177,74123,2640,,2640,63,2703,76826,8026,84852
