Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer and related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Intermediate Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at Purchaser's Prices
46,Edible Oils and Fats, ,8735, , , , , , , , ,189028,275,10870,13582, , , , , , , , , , , , , , ,492,207,7583,369, , , , , , , , , , , , , , , , , , , , ,3060, , , , , , , , , , , , ,517,234718,413091, ,231,6185, ,11265,665491
47,"Grain Mill products, starch and starch products", ,4242, ,4968, , , , , , ,441,1179,66698,51335,11878, ,54, ,5, , , , , , , , , ,23, ,919,4860, ,304, ,715, , ,3, , , , , , , , , , , , , ,3, , , , , , , , , , , , ,9760,157386,364127, ,8,1160, ,28540,551221
48,Sugar, ,2224, , , , , , , , ,165,3320,2159,35491,5923,7, , , , , ,244, , , , , , , , , ,348, ,237, , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1347,51467,142475, , ,717, ,35937,230596
49,Bread & Bakery products, , , , , , , , , , , ,46,1273,241, , , , , , , , , , , , , , , , ,97, , , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , , , , ,2307,3977,47406, , ,220, ,2717,54319
50,Miscellaneous food products, ,2236, ,44, , ,0, , , ,366,3886,3898,14887,836,272,48, , , , , , , , , , , , , ,772,531, , , , , , , , , , , , , , , , , , , ,6,1, , , , , , , , , ,134, , ,4602,32520,151567, , ,1051, ,17241,202379
51,Alcoholic beverages, , , , , , , , , , ,191,129,372,633,6184, , , , , , , , , , , , , , ,84,16,80, , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , ,3406,11100,86279, , ,424, ,2047,99850
52,Non alcoholic beverages, , , , , , , , , , ,443,1525, ,80,1039, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , ,539,3630,34854, , ,181, ,625,39291
53,Tea processed, , , , , , , , , , , , , ,10758,274, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28, , , , , , , , , , , , ,33464,44524,97955, , ,777, ,5609,148866
54,Coffee processed, , , , , , , , , , , , , ,507, , , , , , , , , , , , , , , , , ,33, , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , , , , ,5334,5887,4290, , ,426, ,2640,13243
55,Tobacco Products, , , , , , , , , , , , , ,14, ,3505, , , , , , , , , , , , , , ,163,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3692,73012, , ,88, ,6882,83674
56,Cotton Yarn and Cotton Textiles, , , , , , , , , ,73,572, , , , ,581,162770,74818,4728, , , , , , , ,25,45,290, ,276,147,1346,146,80,95,0,1527,528, , , , , , , , , , , , , , , , , , , , , , , , , , , ,248048,357756, ,280,1267, ,85591,692942
57,Synthetic yarn and synthetic textiles, , , , , , , , , , , , , , , ,74,60592,8215, , , , , , , ,113,580,46,721, ,5936, ,3901,44, , , , ,122, , , , , , , , , , , , , , , , , , , , , , , , , , , ,80344,30369, ,804,631, ,37088,149237
58,Wool yarn and woolen textiles, , , , , , , , , , , , , , , , ,4193,603,7, , , , , , , , , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4805,9397, , ,189, ,1545,15937
59,Silk yarn and silk textiles, , , , , , , , , , , , , , , ,3,709,246,11, , , , , , , , , , , , ,7, , , , , ,69, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1043,3548, ,34,93, , ,4718
60,Carpet weaving, , , , , , , , , , , , , , , , ,52, , , , , , , , , , , ,108, , , , , , , , , , , , ,2112, ,2, , , , , , ,63, , , , , ,74, , , , , , , ,1845, ,4256,12452, ,9602,72, ,16640,43022
61,Ready made garments, , ,9, ,0,1,0,245,78,99, , , , , , ,1844,9745,576, , ,4, , , , ,138,272,2, , ,343,620,68, , ,37, ,199, , , , , ,2539,2023,1011,7078,12,1,1218,1639,0,10,7, , ,6,16,2,0,7,1489,8,1,2516,33867,184553, ,372,-537, ,121700,339955
62,Misc. textile products, , ,1,38, , ,0, , , ,925,422,770,1796,226,244,28398,7320,4118, ,222,31,17,52,376, ,3961,1607,4564,3255,5886,3129,6481,724,24,2221,137,5092,1166,410, , , , , , , , , ,14, ,42, ,128,3, , , ,3,0,0,0,2,1,0, ,83805,139819, ,4848,12741, ,72694,313908
