Product_ID,2015,2019,2022,Product_Name,Change_2015_2022_pct
37,2402.6876741113697,3000.265743045194,2895.3451163060686,Other Metallic minerals,20.504431246017337
38,2505.6932308577784,2275.621054536124,1851.810595629875,Limestone,-26.09587746717337
39,2799.4106770777157,3679.9201132685425,0.0,Mica,-99.99999999999999
40,2214.499145144724,4148.701171301393,1283.8780093144394,Other non metallic minerals,-42.02400068072574
41,13297.410150403122,13202.896844035868,13274.19572620534,Processed poultry meat & poultry meat products,-0.17457853773938356
42,11933.88549187552,12496.770095303084,12704.670832801015,Processed other meat & meat products,6.458796185452245
43,12382.50496730616,12428.125081462502,13266.29285093576,Processed fish & fish products,7.137391714867774
44,29159.76182131641,14265.70994214802,16325.851558063492,Processed fruits & Processed Vegetables,-44.0123974327906
45,5416.589758165378,3062.7690724785984,3679.4175061900833,Dairy products,-32.071327708666686
46,9653.711998880572,8755.230341296457,7658.014530578364,Edible Oils and Fats,-20.672850697572343
47,46718.39709560435,54353.45658647551,45956.727690081134,"Grain Mill products, starch and starch products",-1.6303414776079268
48,31937.23412017726,31525.441770144804,23053.41919777384,Sugar,-27.81648181860187
49,37085.66689569487,38659.84621377333,28960.12573670689,Bread & Bakery products,-21.910192910488668
50,30098.12224293205,36478.22817320911,24987.26200040103,Miscellaneous food products,-16.980661455487326
51,6810.041772828685,7314.924763912068,5463.7005997397455,Alcoholic beverages,-19.76994000918896
52,10189.000891027736,10091.101618930132,8446.850641332601,Non alcoholic beverages,-17.09834230389795
53,40283.846791762,40525.66858237182,26058.21437135286,Tea processed,-35.31349052622816
54,42619.52189911724,44328.33240975176,31406.213721290027,Coffee processed,-26.310262710993637
55,2190.861248096242,2209.7488791509036,1976.6407095567129,Tobacco Products,-9.777914449200146
56,4644.732456637682,4156.527878574325,3519.996954994269,Cotton Yarn and Cotton Textiles,-24.21529145421668
57,6083.325445379355,5503.354180714501,4500.914393758408,Synthetic yarn and synthetic  textiles,-26.01227019381122
58,6630.628203837379,6038.251103262791,5220.827348423369,Wool yarn and woolen textiles,-21.261950030588487
59,6627.247601257148,6089.464636994994,5264.917669623215,Silk yarn and silk textiles,-20.556496657458627
60,6417.99781431256,5981.93305306423,5063.757657569706,Carpet weaving,-21.100664037666217
61,3047.4889082420573,3050.706457557372,2032.1019740336924,Ready made garments,-33.31880655782568
62,5223.761641883033,4635.783264415684,4182.831300606713,Misc. textile products,-19.926834580857545
63,1874.7282233516592,1917.1117522964787,1942.004772207564,Leather footwear,3.588602764811802
64,2777.1880722207516,2930.3148301386555,3245.0812151683776,Leather and leather products except footwear,16.847729818077458
65,2309.223807791552,2667.1118002336575,1832.5393845535948,Wood and wood products except furniture,-20.642625527658968
66,3782.78579255658,4660.339174030978,3459.8794896960476,"Paper, Paper products and newsprint",-8.536203754807314
67,2959.1976123992563,2592.732254744743,2614.36833162691,"Publishing, printing and allied activities",-11.652796667836117
68,1660.5539991347848,2111.3384289124288,1838.4213710648264,Furniture & Fixtures,10.711327184946567
69,5168.131516675043,6079.703942919322,5289.164303519652,Rubber products,2.341906092252015
70,4660.518753022575,5621.427859923137,5117.683389180669,Plastic products,9.809307941559092
71,3507.8628030837976,4828.9132766581,5206.67649237957,Petroleum products,48.42873808526172
72,4086.942106376163,5847.159932293216,6260.131405235433,Coal tar products,53.17396827003767
73,2821.5171893336874,3121.1333326480053,2835.6166996736683,Inorganic chemicals,0.49971378495520025
74,2030.122743142339,2651.1747951384705,2247.799459967364,Organic chemicals,10.722342654419629
75,2883.4648088544286,3193.530261430614,2968.2223869210707,Fertilizers,2.9394351478253475
76,2829.810942783788,3147.62853161165,2927.6301190227464,Pesticides,3.4567389206124863
77,2658.179500346132,2705.0173571768373,2697.1322684969814,"Paints, varnishes and lacquers",1.4653926924715641
78,1727.7749028999438,1285.084569156694,1340.2566500951368,Drugs and medicine,-22.428746485111333
