क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item,S.No.
7.2,सड़क परिवहन,262441.9340106035,300651.6910455685,338305.69276707637,370363.9734033266,399902.40897454176,434947.47036823997,484133.5490926967,536552.084089976,565438.493737948,447164.332356509,262441.9340106035,282425,300563,320813.08998735645,343154.7403672887,362323.64134673733,396401.47337612,417538.185319162,432222.772079593,328137.370439398,Road transport,7.2
7.3,जल परिवहन,6909.842119882129,7189.687036848869,6475.646157349486,7589.9819376349515,7298.096667523389,9206.211257314679,13020.927394423157,13058.9028533841,13349.5175999202,13417.8198624229,6909.842119882129,7052,7345,7954.409854918852,8095.186306795735,8568.853791014437,11914.524456901363,12628.0114518809,13018.1420915149,12293.862411328,Water transport,7.3
7.4,वायु परिवहन,4392.796988746786,8127.692461294455,6852.545707704201,11820.012338802,20343.757494776484,21496.12763473227,22443.968447213723,12730.195114547,22508.1881207295,10323.2929054586,4392.796988746786,4183,4550,5188.157677628646,6052.794841261122,7171.97567528168,8372.575884797147,9401.6553957203,9158.93731814294,3176.57335794836,Air transport,7.4
7.5,परिवहन संबंधी प्रासंगिक सेवाएं ,63602.04112130425,72054.11324441487,75718.55881669301,91681.02016332293,88245.90380271585,102467.98696068655,97602.32597507458,103341.458707212,103300.573053854,98169.7455330176,63602.04112130425,66480,70172,75595.82026692103,81155.62619916865,86834.64966159321,84350.56784544884,89060.6448007648,91369.2636441141,81385.0512131422,Services incidental to transport,7.5
7.6,भंडारण,5107.607633013471,6165.165812809106,6025.78348302541,6406.550624752557,7020.916419146123,7442.146643187969,16193.985294389558,18597.3232882781,19512.5250714484,19628.38511119,5107.607633013471,5716,5210,5529.045526082038,6245.445883183396,6100.3537028967385,12975.778871398194,13783.7801064537,13916.4193196089,14329.39616271,Storage,7.6
7.7,संचार एवं प्रसारण से संबंधित सेवाएं  ,125929.53778645216,142969.11411963793,177804.12898015507,206442.0627344658,237282.0077780925,247809.37574188702,247549.3553333456,258179.10201987,293093.935279605,321901.537625404,125929.53778645216,134505,156031,176047.35821668548,201243.10990918925,203895.72251342915,198344.04903583392,197214.753325631,219312.647455198,223157.810533178,Communication & services related to broadcasting,7.7
8,वित्तीय सेवाएं ,480226,536818.759618554,599341.4613665873,661411.3934844409,726286.2757274497,750201.1087904325,846194.1600484892,941777.967178514,1027358.607124796,1088221.850324282,480226,529792,577914,627254.6143076209,672787.5965698172,695983.0842414033,728669.6333620123,758170.3189584326,784671.7910388052,824734.2707638603,Financial services,8
9,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं  ",1050651.3723525754,1239813.2973095796,1470166.7599278134,1701935.296518753,1899851.5574658264,2161235.531059807,2281017.5394365927,2587720.21979615,2851979.05574506,2957537.76933624,1050651.3723525754,1150239.2937456418,1289492.9144653855,1446459.8240357838,1621999.0248858081,1796983.4705804382,1808520.6252590246,1956051.40183115,2112721.5973448,2137176.16676619,"Real estate, ownership of dwelling & professional services",9
10,लोक प्रशासन और रक्षा,491154.78277656983,546231.2234400877,601912.3947169866,676818.2725878729,731577.8013765204,827438.3823497078,945082.227648042,1045487.5251173981,1147740.6389249219,1238383.0518849678,491154.78277656983,501383.46505834983,510045.68815670954,543852.8660400781,565105.9175539475,614238.2047786381,676507.4351194039,722772.7337924049,759976.0349448886,777125.5684714252,Public administration and defence,10
11,अन्य सेवाएं,534826.965042009,617343.1629868576,700022.9913377382,814717.6095896722,928489.0424556193,1071398.9256055723,1195759.168521269,1375657.50816671,1553471.28494107,1440404.40762527,534826.965042009,568262.2318553751,600748.1560256922,659262.2925624312,711690.801576006,781744.1036573006,836035.0175022513,902704.715670495,967662.49973265,855955.447004623,Other services,11
