क्र॰ स॰   मद,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,Sr. No,Items
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,
6 वस्तुओं एवं सेवाओं का निर्यात,506866.90870255965,507189.1922947212,553499.2080751999,576375.6909275193,532776.1228845492,652251.175379239,528616.5367658035,576192.149014703,550329.8336540902,645078.061871604,613839.6071617547,659021.4141501238,622484.5822418556,626568.0929796827,635337.9614034024,627753.9997590809,582461.4722922089,596858.6141042283,578983.4565203242,611978.0933868522,603117.8098636516,611524.2701659113,618791.5466735589,654988.9526962473,626932.7017886,639985.6481757,646679.4391073,688414.0089932,684204.3797157,717628.2544919,744836.5693476,765811.2790665,703240.4520526,705236.0988297,706562.4156267,698570.4147097,523643.1137856,659753.3522103,645694.2330023,724592.250101,737146.0070876,795993.889127,794989.5489616,846714.5434953,6,Exports of goods and services
,(24.1),(24.8),(24.9),(24.4),(24.2),(29.7),(22.5),(23.4),(23.4),(27.4),(24.6),(25.4),(24.5),(24.5),(24.0),(22.6),(21.3),(21.6),(20.4),(20.2),(20.3),(20.1),(20.1),(20.3),(19.9),(20),(19.7),(19.6),(20.2),(21.1),(21.3),(20.6),(19.8),(19.9),(19.6),(18.3),(19.4),(19.9),(17.8),(18.5),(22.7),(22.2),(20.8),(20.8),,
7 घटाएं: वस्तुओं एवं सेवाओं का आयात,643806.2865597456,640633.5731652926,713920.5627336632,717193.5775412981,677719.5852658448,745413.7411886333,736031.6048150746,719914.208183411,657363.3764294109,684552.4919152021,632540.6644366619,670098.5507193089,663204.8895195345,681671.425704883,680646.1548576845,642072.7908775142,624902.04032258,656932.9697597421,614329.5465080816,615375.2163605884,627452.8538864519,656241.3993634342,679557.0112766647,658341.5166239112,763828.3948743,725604.2118153,775329.7863704,813511.4147391,804000.2748855,856914.677198,869202.81035,819742.808627,877978.7338272,838150.4190259,807150.3443215,798306.2151373,517453.7938706,688185.8925917,765424.3890727,891807.1925427,833454.9499823,970005.5715046,1022436.000408,1052296.7789779,7,Less: Imports of goods and services
,(30.6),(31.4),(32.1),(30.3),(30.7),(33.9),(31.4),(29.2),(28.0),(29.0),(25.3),(25.8),(26.2),(26.6),(25.7),(23.1),(22.9),(23.7),(21.7),(20.3),(21.2),(21.6),(22.1),(20.4),(24.3),(22.7),(23.6),(23.1),(23.8),(25.2),(24.9),(22.1),(24.7),(23.6),(22.4),(20.9),(19.1),(20.8),(21.1),(22.8),(25.7),(27),(26.8),(25.8),,
8 विसंगतियाँ,-10364.720911249635,-50439.559969073394,38343.6802971391,-7158.2252662737155,14157.907685384387,-104504.04095580988,107406.58667617652,24575.789141020738,6380.147124959389,-31770.28433336562,-3241.995856598718,-4429.39880544669,-45841.46135535417,-32983.98351140879,37233.73112175346,17103.31898247276,22491.788533913554,27349.912775390432,-11543.771684569772,40503.67616170843,47672.99357995752,97296.86759105069,36072.36640750151,96801.91664664936,75834.4676333,100204.492937,88204.7816537,179207.0513673,28034.9164721,42652.6445326,-9207.9162287,88442.8215577,68121.2797091,90922.5305529,-819.0453643,237900.7074817,79723.9604146,83611.7641892,56216.9260462,19084.9487117,49774.9261007,-6737.9613957,89056.0701801,84748.7786389,8,Discrepancies
,(-0.5),(-2.5),(1.7),(-0.3),(0.6),(-4.8),(4.6),(1.0),(0.3),(-1.3),(-0.1),(-0.2),(-1.8),(-1.3),(1.4),(0.6),(0.8),(1.0),(-0.4),(1.3),(1.6),(3.2),(1.2),(3),(2.4),(3.1),(2.7),(5.1),(0.8),(1.3),(-0.3),(2.4),(1.9),(2.6),(0),(6.2),(2.9),(2.5),(1.6),(0.5),(1.5),(-0.2),(2.3),(2.1),,
सकल देशीय उत्पाद,2102862.8175453534,2042870.1644094647,2225135.2279735506,2365461.3993782615,2205223.440559079,2195945.8751209346,2344767.213001712,2467081.8672380485,2347396.370736708,2357078.8660974028,2497997.342693486,2598897.5613917424,2535750.5874271104,2562241.583825141,2645947.1351727517,2783733.2326179086,2728278.584346896,2768087.099670945,2836387.3934655306,3036737.911518122,2965087.777365247,3035755.825347009,3079621.613129943,3227728.311887769,3146336.2827236,3197195.4852978,3284991.6555803,3516058.3516895,3382300.8262527,3403644.1903298,3489760.8891947,3717210.0382428,3548958.4752387,3546222.8346592,3599695.6401126,3821080.7077214,2703597.8776156,3310929.8180425,3626220.1959,3917725.2092397,3246433.881934,3589178.2579076,3821878.3048912,4078025.0457424,,Gross domestic product
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Figures in parentheses indicate rates(%) of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note-Totals may not tally due to rounding off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
