क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
9.30,अनार,2085,2156,3968,5709,9441,9881.455,10909.837,11920.84531,13363.09958,15875.48385,2085,2270,3421,4710,6195,7187.203,7890.886,8122.68678,9725.87563,9424.28264,pomegranate,9.30
9.31,स्ट्रॉबेरी,1,5,7,50,17,10.014,10.127,10.59226,61.18958,142.31015,1,4,9,33,10,4.841,4.795,4.85438,38.05743,87.27772,strawberry,9.31
9.32,अन्य शीतोष्ण फल,13,20,21,24,0,0,0,0,0,0,13,17,17,17,0,0,0,0,0,0,other temperate fruits,9.32
9.33,अन्य फल,7679,9650,10474,8622,8906,8639.883,8895.159,10310.69376,8273.06306,8781.24405,7679,8440,8596,6562,6462,5865.82,5524.017,6213.14494,4579.11814,4792.65029,other fruits,9.33
9.34,बेंगन,16428,19797,23477,21800,22147,22150.965,27062.385,26797.22063,30075.79543,28963.06066,16428,17310,17686,16563,16522,16612.578,16882.572,16742.32052,16839.351,16855.9574,brinjal,9.34
9.35,बंद गोभी,8470,9764,12062,11709,12278,13177.373,16349.727,16316.232,17864.19104,15463.58037,8470,8808,9362,8872,8976,9052.529,9329.85,9423.74279,9668.33683,9975.52749,cabbage,9.35
9.36,फुल गोभी,11779,13354,15602,15177,15899,18322.174,18345.146,21269.00725,22234.05401,21230.27155,11779,12576,13623,12815,12971,13607.44,13853.376,14267.06391,14207.42917,14657.7123,cauliflower,9.36
9.37,भिंडी,10700,11372,12765,12556,12368,13686.536,16431.003,16672.02888,16286.00222,17415.62786,10700,10748,10451,9715,9897,9901.345,10162.915,10264.70107,10488.73789,10718.63254,okra,9.37
9.38,टमाटर,20302,20830,27322,26141,31859,32403.581,42583.245,35110.66083,45794.8928,48561.3458,20302,20118,20348,18274,20772,22511.817,21836.166,21135.88193,23232.10611,23803.84856,tomato,9.38
9.39,सहजन की फली,1938,1831,3269,4399,4809,5315.855,3930.122,3623.32647,2318.49463,2183.44193,1938,1831,2458,2828,2956,3179.408,2276.866,2405.24417,1375.25762,1439.2629,drum sticks,9.39
9.40,हरी मटर,6612,8017,8499,12635,12037,12216.666,12703.074,14862.85624,18003.25532,15722.63783,6612,7122,6589,7490,7961,8945.043,9108.98,9345.86327,9867.76162,9879.26392,green peas,9.40
9.41,फलियां,2961,3878,4583,5873,6845,6135.331,6736.724,7512.32285,9149.60705,9712.86227,2961,3172,3321,4338,4532,3802.894,4467.197,4540.06768,4629.2282,4512.91228,beans,9.41
