Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate,Output_Sign_Corrected
Gems & jewellery,747963.6819694968,116596.05330779373,539381.0,84081.21590023382,195258.0,30437.724084177706,747963.6819694968,116596.05330779373,1.0,64.15,0
Miscellaneous manufacturing,544713.9592783658,84912.54236607417,160690.0,25049.103663289163,237073.0,36956.04053000779,544713.9592783658,84912.54236607417,1.0,64.15,0
Construction and construction services,4336620.061852647,676012.480413507,2557097.0,398612.15900233825,2997398.0,467248.3242400623,4336620.061852647,676012.480413507,1.0,64.15,0
Electricity,564724.6700027549,88031.90491079577,132184.0,20605.455962587683,726000.0,113172.25253312547,564724.6700027549,88031.90491079577,1.0,64.15,0
Gas,121525.594074429,18943.974134751206,64201.0,10007.950116913484,75132.0,11711.925175370225,121525.594074429,18943.974134751206,1.0,64.15,0
Water Supply,206161.95062388456,32137.48256023142,41983.0,6544.505066250974,127187.0,19826.50038971161,206161.95062388456,32137.48256023142,1.0,64.15,0
Trade,454855.80434344744,70905.03575112196,0.0,0.0,2417895.0,376912.704598597,454855.80434344744,70905.03575112196,1.0,64.15,0
Repair & Maintenance of Motor Vehicle,525077.0,81851.4419329696,32713.0,5099.454403741231,168950.0,26336.710833982852,525077.0,81851.4419329696,1.0,64.15,0
Hotels & Restaurant,608600.0,94871.39516757599,339302.0,52891.97194076383,397425.0,61952.45518316445,608600.0,94871.39516757599,1.0,64.15,0
Railway Transport,88132.0,13738.425565081838,34846.0,5431.9563522992985,160070.0,24952.455183164457,88132.0,13738.425565081838,1.0,64.15,0
Land transport,928958.0,144810.28838659392,391693.0,61058.924395947,972213.0,151553.0787217459,928958.0,144810.28838659392,1.0,64.15,0
Air transport,122722.0,19130.475448168352,46597.0,7263.756819953234,97621.0,15217.614964925953,122722.0,19130.475448168352,1.0,64.15,0
Water Transport,48464.0,7554.793452844894,35863.0,5590.491036632891,21807.0,3399.3764614185498,48464.0,7554.793452844894,1.0,64.15,0
Supportive and Auxiliary transport activities,123442.0,19242.712392829304,703.0,109.58690568978955,225205.0,35106.00155884645,123442.0,19242.712392829304,1.0,64.15,0
Storage and warehousing,8533.0,1330.1636788776304,0.0,0.0,15976.0,2490.41309431021,8533.0,1330.1636788776304,1.0,64.15,0
Communication services,594065.0,92605.61184723304,261784.0,40808.106001558845,580089.0,90426.96804364769,594065.0,92605.61184723304,1.0,64.15,0
Financial services,592074.0,92295.24551831644,357136.0,55672.01870615744,886543.0,138198.44115354636,592074.0,92295.24551831644,1.0,64.15,0
Insurance services,150444.0,23451.909586905687,92485.0,14416.991426344504,156555.0,24404.520654715507,150444.0,23451.909586905687,1.0,64.15,0
Ownership of dwellings,958346.0,149391.42634450505,927302.0,144552.1434138737,927302.0,144552.1434138737,958346.0,149391.42634450505,1.0,64.15,0
Real estate services,255865.0,39885.42478565861,134723.0,21001.247077162898,240728.0,37525.798908807476,255865.0,39885.42478565861,1.0,64.15,0
Renting of machinery & equipment,373972.908350553,58296.63419338316,98349.0,15331.098986749805,98724.0,15389.555728760715,373972.908350553,58296.63419338316,1.0,64.15,0
Research & Development Services,250706.0,39081.21590023382,76024.0,11850.974279033515,83787.0,13061.106780982072,250706.0,39081.21590023382,1.0,64.15,0
Legal services,91502.0,14263.756819953232,46355.0,7226.032735775526,97948.0,15268.589243959468,91502.0,14263.756819953232,1.0,64.15,0
Other Business services,752798.0,117349.64925954792,395729.0,61688.074824629766,695473.0,108413.56196414652,752798.0,117349.64925954792,1.0,64.15,0
Computer related services,1179132.0,183808.57365549493,911343.0,142064.38035853466,887477.0,138344.03741231488,1179132.0,183808.57365549493,1.0,64.15,0
Public administration and defence,1371129.0,213737.95791114573,1098956.0,171310.3663289166,1099612.0,171412.62665627434,1371129.0,213737.95791114573,1.0,64.15,0
Education services,834006.0,130008.72954014028,659324.0,102778.48791893998,685966.0,106931.56664068588,834006.0,130008.72954014028,1.0,64.15,0
Human health and social care services,519466.0,80976.773187841,372698.0,58097.8955572876,368995.0,57520.654715510515,519466.0,80976.773187841,1.0,64.15,0
"Community, social and personal services",560234.0767850943,87331.89037959381,420121.0,65490.413094310206,394699.0,61527.513639906465,560234.0767850943,87331.89037959381,1.0,64.15,0
"Recreation, entertainment and radio & TV broadcasting  and other services",257775.99327368173,40183.31929441648,176388.0,27496.180826188618,161158.0,25122.057677318782,257775.99327368173,40183.31929441648,1.0,64.15,0
