Product_ID,Product_Name,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct,Tourism_Demand_crore,Source_Group,Water_Multiplier_m3_per_crore,Total_Water_m3,Green_Water_m3,Water_pct,WSI_weight,Scarce_m3,Scarce_pct,Multiplier_Ratio
70,Plastic products,2402.2028116625556,0.0,0.0,0.0,Manufacturing,5117.683389180669,0.0,0.0,0.0,0.814,0.0,0.0,1.4248770065052132
69,Rubber products,2402.2028116625556,0.0,0.0,0.0,Manufacturing,5289.164303519652,0.0,0.0,0.0,0.814,0.0,0.0,1.472621111271965
68,Furniture & Fixtures,189.3831212261582,0.0,0.0,0.0,Manufacturing,1838.4213710648264,0.0,0.0,0.0,0.814,0.0,0.0,0.5118574442170485
65,Wood and wood products except furniture,189.3831212261582,0.0,0.0,0.0,Manufacturing,1832.5393845535948,0.0,0.0,0.0,0.814,0.0,0.0,0.5102197682032985
64,Leather and leather products except footwear,0.0,0.0,0.0,0.0,Manufacturing,3245.0812151683776,0.0,0.0,0.0,0.814,0.0,0.0,0.903502865673698
54,Coffee processed,0.0,0.0,0.0,0.0,Manufacturing,31406.213721290027,0.0,0.0,0.0,0.814,0.0,0.0,8.744189194560368
53,Tea processed,0.0,0.0,0.0,0.0,Manufacturing,26058.21437135286,0.0,0.0,0.0,0.814,0.0,0.0,7.255187096337507
50,Miscellaneous food products,0.0,0.0,0.0,0.0,Manufacturing,24987.26200040103,0.0,0.0,0.0,0.814,0.0,0.0,6.957010110309497
48,Sugar,19.787940775851077,4.896402259887005,19.836064718424858,0.0,Manufacturing,23053.41919777384,0.0,0.0,0.0,0.814,0.0,0.0,6.41858521488035
46,Edible Oils and Fats,86.957795529801,40.58845197740113,31.822537135096212,0.0,Manufacturing,7658.014530578364,0.0,0.0,0.0,0.814,0.0,0.0,2.132161759590773
45,Dairy products,678.7353814767046,4274.351412429379,86.29671940512387,0.0,Manufacturing,3679.4175061900833,0.0,0.0,0.0,0.814,0.0,0.0,1.0244317600785287
43,Processed fish & fish products,1350.391803651458,4095.588700564972,75.20388105308224,0.0,Manufacturing,13266.292850935759,0.0,0.0,0.0,0.814,0.0,0.0,3.6936313185816605
42,Processed other meat & meat products,32.33008242625373,133.81095141242938,80.54057948282356,0.0,Manufacturing,12704.670832801017,0.0,0.0,0.0,0.814,0.0,0.0,3.5372632435891656
41,Processed poultry meat & poultry meat products,177.48000703100058,910.5868926553673,83.68850232626701,0.0,Manufacturing,13274.19572620534,0.0,0.0,0.0,0.814,0.0,0.0,3.6958316550230883
40,Other non metallic minerals,0.0,0.0,0.0,0.0,Mining,1283.8780093144394,0.0,0.0,0.0,0.814,0.0,0.0,0.3574602247761773
39,Mica,0.0,0.0,0.0,0.0,Mining,0.0,0.0,0.0,0.0,0.814,0.0,0.0,0.0
38,Limestone,0.0,0.0,0.0,0.0,Mining,1851.810595629875,0.0,0.0,0.0,0.814,0.0,0.0,0.5155853024620515
37,Other Metallic minerals,0.0,0.0,0.0,0.0,Mining,2895.3451163060686,0.0,0.0,0.0,0.814,0.0,0.0,0.8061285484841542
36,Copper ore,0.0,0.0,0.0,0.0,Mining,3029.257741027788,0.0,0.0,0.0,0.814,0.0,0.0,0.8434128049213794
35,Bauxite,0.0,0.0,0.0,0.0,Mining,3158.320429626227,0.0,0.0,0.0,0.814,0.0,0.0,0.8793467311526189
34,Manganese ore,0.0,0.0,0.0,0.0,Mining,3142.9011225888007,0.0,0.0,0.0,0.814,0.0,0.0,0.875053652745244
33,Iron ore,0.0,0.0,0.0,0.0,Mining,2510.0019841261883,0.0,0.0,0.0,0.814,0.0,0.0,0.698840440388488
32,Crude petroleum,0.0,0.0,0.0,0.0,Mining,2072.3534866708596,0.0,0.0,0.0,0.814,0.0,0.0,0.5769893539625477
140,"Recreation, entertainment and radio & TV broadcasting and other services",0.0,0.0,0.0,0.0,Services,426.0154217332697,0.0,0.0,0.0,0.0,0.0,0.0,0.11861217912144814
