Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
SERV_018,Other Services,114,Electricity,Electricity,2491590.719833811,0.814,2028154.845944722,0.046272535429652845,0.04575088344360166
SERV_003,Road Transport,61,Ready made garments,Manufacturing,2479022.9945730427,0.814,2017924.7175824565,0.046039134129925,0.04552011338615219
SERV_005,Financial Services,20,Other food crops,Agriculture,2444268.7833434255,0.827,2021410.2838250129,0.04539369687666722,0.045598740388038655
SERV_005,Financial Services,70,Plastic products,Manufacturing,2443142.865483756,0.814,1988718.2925037774,0.04537278691194561,0.04486127821276753
FOOD_M02,Processed Fruit/Veg,3,Coarse cereals,Agriculture,2429101.8578211623,0.827,2008867.2364181012,0.04511202457270446,0.04531579576914597
SERV_003,Road Transport,7,Groundnut,Agriculture,2426869.8847619365,0.827,2007021.3946981214,0.045070573522321696,0.0452741574842019
SERV_006,Real Estate,20,Other food crops,Agriculture,2375588.5273705916,0.827,1964611.712135479,0.04411820265021877,0.04431748474903912
FOOD_M04,Grain Mill & Bakery,19,Vegetables,Agriculture,2328005.0907398215,0.827,1925260.2100418324,0.04323450765174453,0.04342979809670244
FOOD_005,Tobacco Products,1,Paddy,Agriculture,2269693.154675561,0.827,1877036.2389166888,0.04215156850526821,0.042341967309745765
SERV_018,Other Services,18,Fruits,Agriculture,2256991.636126855,0.827,1866532.083076909,0.04191568246572854,0.042105015772016724
TEXT_M01,Textiles,12,Sugarcane,Agriculture,2212623.7363522556,0.827,1829839.8299633153,0.04109170475626093,0.04127731615192129
TEXT_002,Leather Footwear,12,Sugarcane,Agriculture,2165796.3495473675,0.827,1791113.5810756728,0.040222050724497735,0.04040373388939876
SERV_012,Health & Social Work,69,Rubber products,Manufacturing,2154108.64108782,0.814,1753444.4338454853,0.040004992642092466,0.039553997604324626
